verge_ids,https_links,verge_articles,verge_authors,article_dates
23342451,https://www.theverge.com/2022/9/8/23342451/android-new-accessibility-sharing-features-tablets-emoji,New accessibility and sharing features are coming to Android devices,Andrew J. Hawkins,2022/9/8
23341609,https://www.theverge.com/2022/9/7/23341609/apple-iphone-14-far-out-event-missing-announcements,Everything Apple didn’t announce at its iPhone 14 event,Mary Beth Griggs,2022/9/7
23341123,https://www.theverge.com/2022/9/8/23341123/youtube-learning-educational-video-ad-free-courses-quizzes,YouTube launches an ad-free video player for education,Jess Weatherbed,2022/9/8
23342626,https://www.theverge.com/2022/9/8/23342626/ford-bluecruise-adas-hands-free-lane-change-update,Ford will update BlueCruise driver assist with hands-free lane changing ,Charles Pulliam-Moore,2022/9/8
23342729,https://www.theverge.com/2022/9/8/23342729/steve-bannon-crowdfunding-we-build-the-wall-us-mexico-border-fraud,Bannon surrenders to New York prosecutors over border wall crowdfunding campaign,Jess Weatherbed,2022/9/8
23328667,https://www.theverge.com/2022/9/8/23328667/microsoft-xbox-home-user-interface-update-changes-dashboard-2023,Microsoft starts testing new Xbox Home UI that will arrive in 2023,Emma Roth,2022/9/8
23338833,https://www.theverge.com/23338833/iphone-14-pro-max-hands-on-notch-features-apple-event,Hands-on with the iPhone 14 Pro and iPhone 14 Pro Max,Mia Sato,0
23342674,https://www.theverge.com/2022/9/8/23342674/bollinger-mullen-ev-truck-acquisition-b1-b2,EV startup Bollinger acquired by Mullen Automotive for $148.2 million,Andrew J. Hawkins,2022/9/8
23341967,https://www.theverge.com/2022/9/8/23341967/nasa-artemis-moon-spacesuits-moonwalk-axiom,‘Moonwalking’ spacesuits for NASA’s Artemis III mission will be built by Axiom Space,Makena Kelly,2022/9/8
23328114,https://www.theverge.com/2022/9/8/23328114/apple-iphone-12-13-mini-not-updated-ergonomics,Farewell to the iPhone Mini — not gone but not updated,Tom Warren,2022/9/8
23341685,https://www.theverge.com/2022/9/8/23341685/crypto-mining-bitcoin-energy-environment-impact-report-biden,Here’s how much energy crypto mining gobbles up in the US,Tom Warren,2022/9/8
23324010,https://www.theverge.com/23324010/apple-watch-series-8-se-ultra-hands-on-features-apple-event,"Apple Watch Series 8, SE, and Ultra hands-on: triple the fun",Allison Johnson,0
23342522,https://www.theverge.com/good-deals/2022/9/8/23342522/humble-bundle-borderlands-bioshock-apple-ipad-disney-plus-asus-laptop-deal-sale,Humble is bundling several great PC games for just $16 ,Andrew J. Hawkins,2022/9/8
23317521,https://www.theverge.com/2022/9/8/23317521/good-laptop-college-business-gaming-video-editing-2022,What makes a good laptop?,Mary Beth Griggs,2022/9/8
23342580,https://www.theverge.com/2022/9/8/23342580/rivian-mercedes-electric-vans-joint-venture-europe,Rivian and Mercedes-Benz partner up for electric vans,Mitchell Clark,2022/9/8
23342571,https://www.theverge.com/23342571/glass-onion-a-knives-out-mystery-teaser-trailer,Guns are also out in the first trailer for Glass Onion: A Knives Out Mystery,Justine Calma,0
